.model_id,.model_desc,.key,.index,.value,date,page_views,page_views_lag28,page_views_lag28_roll_28,page_views_lag28_roll_56,page_views_lag28_roll_84,date_sin28_K1,date_cos28_K1,date_sin56_K1,date_cos56_K1,date_sin84_K1,date_cos84_K1,id
NA,ACTUAL,actual,2022-12-08,332,2022-12-08,332,283,268.75,277.16326530612247,280.44444444444446,4.4978810358748904e-13,-1,1,2.2489405179374452e-13,0.8660254037843637,0.5000000000001299,1
1,NBEATS ENSEMBLE,prediction,2022-12-02,245.41512608197053,2022-12-02,232,242,278,282.1272727272727,278.768115942029,0.9749279121818106,-0.22252093395637124,0.781831482468048,0.6234898018587107,0.5633200580635129,0.8262387743160693,1
1,NBEATS ENSEMBLE,prediction,2022-12-03,188.94206900515297,2022-12-03,212,143,278.7857142857143,284.1666666666667,281.1029411764706,0.9009688679024963,-0.43388373911739775,0.8467241992282368,0.532032076515412,0.6234898018585687,0.7818314824681613,1
1,NBEATS ENSEMBLE,prediction,2022-12-04,216.93721948967644,2022-12-04,281,219,276.85714285714283,285.50943396226415,282.089552238806,0.7818314824682882,-0.6234898018584096,0.9009688679023293,0.4338837391177447,0.6801727377707071,0.7330518718300233,1
1,NBEATS ENSEMBLE,prediction,2022-12-05,318.5014890130768,2022-12-05,315,406,279.2142857142857,283.75,282.6666666666667,0.623489801858531,-0.7818314824681913,0.9438833303084103,0.3302790619550448,0.7330518718297303,0.6801727377710228,1
1,NBEATS ENSEMBLE,prediction,2022-12-06,318.9842010918349,2022-12-06,380,271,276.42857142857144,281.70588235294116,282.5846153846154,0.43388373911753764,-0.900968867902429,0.9749279121818262,0.22252093395630332,0.7818314824678928,0.6234898018589053,1
1,NBEATS ENSEMBLE,prediction,2022-12-07,312.9498561481494,2022-12-07,359,300,273.9642857142857,279.28,281.125,0.22252093395652256,-0.9749279121817761,0.9937122098932306,0.11196447610341395,0.8262387743158267,0.5633200580638688,1
1,NBEATS ENSEMBLE,prediction,2022-12-08,299.1415176016967,2022-12-08,332,283,268.75,277.16326530612247,280.44444444444446,4.4978810358748904e-13,-1,1,2.2489405179374452e-13,0.8660254037843637,0.5000000000001299,1
1,NBEATS ENSEMBLE,prediction,2022-12-09,251.31529352727375,2022-12-09,NA,255,268.4642857142857,277.875,280.88709677419354,-0.22252093395653225,-0.9749279121817739,0.9937122098932301,-0.11196447610341888,0.9009688679023199,0.4338837391177642,1
1,NBEATS ENSEMBLE,prediction,2022-12-10,179.87391963014548,2022-12-10,NA,204,269.67857142857144,279.25531914893617,282.9344262295082,-0.4338837391175466,-0.9009688679024247,0.9749279121818251,-0.22252093395630815,0.9308737486440919,0.3653410243666812,1
